

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.023  000.023: --- NVIM STARTING ---
000.274  000.250: event init
000.407  000.134: early init
000.515  000.108: locale set
000.586  000.070: init first window
001.091  000.505: inits 1
001.114  000.023: window checked
001.117  000.003: parsing arguments
001.837  000.114  000.114: require('vim.shared')
002.019  000.064  000.064: require('vim._meta')
002.021  000.179  000.114: require('vim._editor')
002.023  000.332  000.039: require('vim._init_packages')
002.025  000.575: init lua interpreter
002.079  000.054: expanding arguments
002.165  000.086: inits 2
002.582  000.418: init highlight
002.585  000.003: waiting for UI
003.803  001.218: done waiting for UI
003.816  000.013: init screen for UI
004.001  000.185: init default mappings
004.016  000.015: init default autocommands
006.899  000.094  000.094: sourcing /usr/share/nvim/runtime/ftplugin.vim
007.341  000.058  000.058: sourcing /usr/share/nvim/runtime/indent.vim
007.522  000.020  000.020: sourcing /usr/share/nvim/archlinux.vim
007.528  000.065  000.045: sourcing /etc/xdg/nvim/sysinit.vim
025.472  017.825  017.825: require('impatient')
026.716  001.026  001.026: require('figarillo.core.settings')
026.878  000.012  000.012: require('vim.keymap')
028.956  000.051  000.051: require('plenary.tbl')
028.964  000.131  000.080: require('plenary.vararg.rotate')
028.967  000.183  000.052: require('plenary.vararg')
029.089  000.120  000.120: require('plenary.errors')
029.187  000.094  000.094: require('plenary.functional')
029.193  000.471  000.074: require('plenary.async.async')
029.256  000.061  000.061: require('plenary.async.structs')
029.264  000.609  000.077: require('plenary.async.control')
030.136  000.242  000.242: require('plenary.bit')
030.187  000.030  000.030: require('ffi')
030.206  000.522  000.250: require('plenary.path')
030.217  000.638  000.116: require('plenary.strings')
030.357  000.138  000.138: require('telescope.deprecated')
030.954  000.313  000.313: require('plenary.log')
030.985  000.472  000.160: require('telescope.log')
031.283  000.193  000.193: require('plenary.job')
031.369  000.081  000.081: require('telescope.state')
031.382  000.394  000.119: require('telescope.utils')
031.393  001.032  000.166: require('telescope.sorters')
031.492  000.086  000.086: require('vim.inspect')
031.659  000.010  000.010: require('vim.F')
034.402  004.935  003.030: require('telescope.config')
034.710  000.133  000.133: require('plenary.window.border')
034.772  000.058  000.058: require('plenary.window')
034.848  000.072  000.072: require('plenary.popup.utils')
034.854  000.444  000.181: require('plenary.popup')
034.918  000.061  000.061: require('telescope.pickers.scroller')
034.977  000.056  000.056: require('telescope.actions.state')
035.038  000.058  000.058: require('telescope.actions.utils')
035.165  000.059  000.059: require('telescope.actions.mt')
035.193  000.152  000.093: require('telescope.actions.set')
035.322  000.067  000.067: require('telescope.config.resolve')
035.326  000.131  000.064: require('telescope.pickers.entry_display')
035.375  000.047  000.047: require('telescope.from_entry')
035.702  006.436  000.551: require('telescope.actions')
035.977  000.203  000.203: require('telescope.make_entry')
036.899  000.731  000.731: require('plenary.async.util')
036.904  000.789  000.059: require('plenary.async.tests')
036.908  000.875  000.086: require('plenary.async')
036.912  000.931  000.056: require('telescope.finders.async_static_finder')
037.061  000.041  000.041: require('plenary.class')
037.078  000.107  000.067: require('telescope._')
037.081  000.167  000.060: require('telescope.finders.async_oneshot_finder')
037.129  000.046  000.046: require('telescope.finders.async_job_finder')
037.136  001.430  000.082: require('telescope.finders')
037.410  000.057  000.057: require('telescope._extensions')
037.414  000.129  000.072: require('telescope')
037.478  000.061  000.061: require('telescope.debounce')
037.647  000.166  000.166: require('telescope.mappings')
037.758  000.073  000.073: require('telescope.pickers.highlights')
037.814  000.053  000.053: require('telescope.pickers.window')
037.931  000.055  000.055: require('telescope.algos.linked_list')
037.939  000.122  000.067: require('telescope.entry_manager')
037.990  000.049  000.049: require('telescope.pickers.multi')
038.015  000.876  000.224: require('telescope.pickers')
038.028  009.484  000.133: require('telescope.builtin.__lsp')
038.058  009.691  000.207: require('telescope.builtin')
038.274  000.052  000.052: require('Comment.config')
038.447  000.100  000.100: require('Comment.ft')
038.458  000.180  000.080: require('Comment.utils')
038.517  000.057  000.057: require('Comment.opfunc')
038.572  000.052  000.052: require('Comment.extra')
038.581  000.431  000.089: require('Comment.api')
038.983  012.262  002.129: require('figarillo.core.keymaps')
039.342  000.061  000.061: require('packer.util')
039.435  000.301  000.240: require('packer')
039.826  000.226  000.226: require('packer.log')
039.832  000.287  000.061: require('packer.async')
039.955  000.050  000.050: require('packer.result')
039.963  000.128  000.078: require('packer.jobs')
039.970  000.505  000.090: require('packer.plugin_utils')
040.055  000.071  000.071: require('packer.snapshot')
041.241  002.254  001.378: require('figarillo.core.plugins')
041.250  015.763  000.222: require('figarillo.core')
041.645  000.115  000.115: require('alpha')
041.763  000.113  000.113: require('alpha.themes.dashboard')
042.001  000.208  000.208: require('figarillo.plugins.fortune')
042.161  000.755  000.319: require('figarillo.plugins.alpha')
042.437  000.048  000.048: require('nvim-autopairs._log')
042.514  000.074  000.074: require('nvim-autopairs.utils')
042.735  000.092  000.092: require('nvim-autopairs.conds')
042.745  000.165  000.073: require('nvim-autopairs.rule')
042.750  000.233  000.068: require('nvim-autopairs.rules.basic')
042.777  000.499  000.144: require('nvim-autopairs')
043.530  001.364  000.865: require('figarillo.plugins.autopairs')
043.836  000.071  000.071: require('auto-save.config')
043.897  000.057  000.057: require('auto-save.utils.data')
043.976  000.076  000.076: require('auto-save.utils.colors')
044.054  000.075  000.075: require('auto-save.utils.echo')
044.067  000.408  000.129: require('auto-save')
044.314  000.780  000.372: require('figarillo.plugins.autosave')
044.893  000.078  000.078: require('cmp.utils.debug')
045.069  000.106  000.106: require('cmp.utils.char')
045.085  000.188  000.082: require('cmp.utils.str')
045.152  000.064  000.064: require('cmp.utils.pattern')
045.408  000.094  000.094: require('cmp.utils.misc')
045.469  000.058  000.058: require('cmp.utils.buffer')
045.548  000.077  000.077: require('cmp.utils.api')
045.559  000.325  000.096: require('cmp.utils.keymap')
045.568  000.413  000.088: require('cmp.utils.feedkeys')
045.660  000.090  000.090: require('cmp.utils.async')
045.948  000.074  000.074: require('cmp.types.cmp')
046.139  000.187  000.187: require('cmp.types.lsp')
046.203  000.059  000.059: require('cmp.types.vim')
046.207  000.477  000.157: require('cmp.types')
046.274  000.065  000.065: require('cmp.utils.cache')
046.280  000.617  000.074: require('cmp.context')
046.574  000.086  000.086: require('cmp.config.mapping')
046.748  000.091  000.091: require('cmp.config.compare')
046.751  000.171  000.080: require('cmp.config.default')
046.784  000.409  000.152: require('cmp.config')
046.979  000.094  000.094: require('cmp.matcher')
046.998  000.212  000.118: require('cmp.entry')
047.014  000.732  000.111: require('cmp.source')
047.162  000.071  000.071: require('cmp.utils.event')
047.334  000.094  000.094: require('cmp.utils.window')
047.339  000.174  000.080: require('cmp.view.docs_view')
047.520  000.081  000.081: require('cmp.utils.autocmd')
047.537  000.196  000.116: require('cmp.view.custom_entries_view')
047.699  000.159  000.159: require('cmp.view.wildmenu_entries_view')
047.847  000.143  000.143: require('cmp.view.native_entries_view')
047.962  000.111  000.111: require('cmp.view.ghost_text_view')
048.025  001.009  000.154: require('cmp.view')
048.297  003.610  000.419: require('cmp.core')
048.543  000.085  000.085: require('cmp.config.sources')
048.646  000.097  000.097: require('cmp.config.window')
049.019  004.552  000.760: require('cmp')
051.368  000.252  000.252: require('luasnip.session')
051.867  000.490  000.490: require('luasnip.util.util')
052.056  000.175  000.175: require('luasnip.util.types')
052.540  000.204  000.204: require('luasnip.util.ext_opts')
052.547  000.488  000.284: require('luasnip.nodes.util')
052.704  000.154  000.154: require('luasnip.util.events')
052.748  002.676  001.118: require('luasnip.nodes.node')
053.050  000.061  000.061: require('luasnip.util.extend_decorator')
053.060  000.309  000.248: require('luasnip.nodes.insertNode')
053.129  000.066  000.066: require('luasnip.nodes.textNode')
053.200  000.067  000.067: require('luasnip.util.mark')
053.918  000.664  000.664: require('luasnip.util._builtin_vars')
054.138  000.936  000.272: require('luasnip.util.environ')
054.218  000.074  000.074: require('luasnip.util.pattern_tokenizer')
